,authors,book_format,cur_price,isbn13,old_price,pages,product_dimensions,publication_date,publisher,title
933,Don Winslow ,Hardcover,$18.89,9780062664488,$28.99,736.0,6.1 x 1.7 x 9.2 inches,02/26/19,William Morrow,The Border: A Novel (Power of the Dog)
934,James Patterson and Brendan DuBois ,Hardcover,$16.80,9780316485555,$28.00,352.0,6.8 x 1.2 x 9.8 inches,03/25/19,"Little, Brown and Company",The Cornwalls Are Gone
935,Kate Quinn ,Paperback,$10.31,9780062740373,$16.99,560.0,6 x 1.1 x 9 inches,02/26/19,William Morrow Paperbacks,The Huntress: A Novel
936,Colleen Hoover ,Paperback,$13.49,9781791392796,$14.99,331.0,5.5 x 0.8 x 8.5 inches,12/10/18,Independently published,Verity
937,John Grisham ,Hardcover,$26.96,9780385544184,$29.95,368.0,6.1 x 1 x 9.2 inches,10/15/19,Doubleday,Untitled #26
938,Deborah Harkness ,Paperback,$32.69,9780147517722,$54.00,1760.0,5.6 x 3.8 x 8.5 inches,05/26/15,Penguin Books; Reprint edition,The All Souls Trilogy Boxed Set
939,James Patterson and Brendan DuBois ,Hardcover,$18.30,9781538714959,$28.00,368.0,6 x 1.4 x 8.6 inches,03/12/19,Grand Central Publishing,The First Lady (Hardcover Library Edition)
940,James Patterson and Maxine Paetro ,Hardcover,$18.90,9780316420266,$29.00,416.0,1.1 x 1.1 inches,04/29/19,"Little, Brown and Company",The 18th Abduction (Women's Murder Club)
941,Stuart Woods ,Hardcover,$18.30,9780735219281,$28.00,320.0,6.3 x 1.2 x 9.3 inches,03/26/19,G.P. Putnam's Sons,Wild Card (A Stone Barrington Novel)
942,John Sandford ,Hardcover,$18.90,9780525536581,$29.00,400.0,6.5 x 1.4 x 9.3 inches,04/23/19,G.P. Putnam's Sons,Neon Prey (A Prey Novel)
943,Greer Hendricks and Sarah Pekkanen ,Hardcover,$16.76,9781250133731,$27.99,384.0,6.4 x 1.3 x 9.6 inches,01/08/19,St. Martin's Press; 1st edition,An Anonymous Girl: A Novel
944,Steve Berry ,Hardcover,$13.31,9781250140265,$28.99,416.0,6.5 x 1.3 x 9.6 inches,03/05/19,Minotaur Books,The Malta Exchange: A Novel (Cotton Malone)
945,John Grisham ,Hardcover,$16.58,9780385544153,$29.95,432.0,6.4 x 1.4 x 9.5 inches,10/23/18,Doubleday; First Edition edition,The Reckoning: A Novel
946,James Patterson and Max DiLallo ,Hardcover,$15.40,9780316453301,$28.00,400.0,6.4 x 1.4 x 9.6 inches,02/18/19,"Little, Brown and Company",The Chef
947,Catherine Coulter and J.T. Ellison ,Hardcover,$17.48,9781501138225,$27.99,464.0,9 x 6 x 9 inches,03/26/19,Gallery Books,The Last Second (A Brit in the FBI)
948,Peter Heller ,Hardcover,$16.25,9780525521877,$25.95,272.0,5.8 x 1 x 8.5 inches,03/05/19,Knopf,The River: A novel
949,Stephen King ,Paperback,$12.19,9781982115982,$18.00,416.0,5.3 x 1 x 8.2 inches,02/26/19,Gallery Books; Media Tie-In edition,Pet Sematary: A Novel
950,Nora Roberts ,Hardcover,$26.09,9781250123039,$28.99,464.0,6.1 x 9.2 inches,11/26/19,St. Martin's Press,"The Rise of Magicks: Chronicles of The One, Book 3"
951,Grant Cardone ,Hardcover,$16.96,9780470627600,$24.95,240.0,6 x 1.1 x 9.1 inches,04/26/11,Wiley; 1 edition,The 10X Rule: The Only Difference Between Success and Failure
952,Donna Leon ,Hardcover,$17.10,9780802129116,$26.00,320.0,6 x 0.5 x 9 inches,03/05/19,Atlantic Monthly Press,Unto Us a Son Is Given (Guido Brunetti)
953,Amor Towles ,Paperback,$13.60,9780143110439,$17.00,496.0,5.4 x 1.1 x 8.4 inches,03/26/19,Penguin Books; Reprint edition,A Gentleman in Moscow: A Novel
954,John Sandford ,Hardcover,$26.10,9780525536611,$29.00,384.0,6 x 1.2 x 9 inches,10/08/19,G.P. Putnam's Sons,Bloody Genius (A Virgil Flowers Novel)
955,Douglas Preston and Lincoln Child ,Hardcover,$25.20,9781538747223,$28.00,384.0,,08/27/19,Grand Central Publishing,Old Bones (Nora Kelly)
956,Don Winslow ,Paperback,$14.28,9781400096930,$15.35,560.0,5.2 x 0.9 x 8 inches,05/09/06,Vintage Crime/Black Lizard; Reprint edition,The Power of the Dog
957,Samantha Downing ,Hardcover,$17.10,9780451491725,$26.00,384.0,6.2 x 1.2 x 9.3 inches,03/26/19,Berkley,My Lovely Wife
958,Stephen King ,Hardcover,$16.82,9781501180989,$30.00,576.0,6.1 x 1.7 x 9.2 inches,05/22/18,Scribner; First Editiion edition,The Outsider: A Novel
959,Rhys Bowen ,Paperback,$11.99,9781503951815,$14.95,352.0,5.5 x 1 x 8.2 inches,02/20/18,Lake Union Publishing,The Tuscan Child
960,J. D. Robb ,Hardcover,$26.09,9781250207173,$28.99,368.0,6.1 x 9.2 inches,09/03/19,St. Martin's Press,"Vendetta in Death: An Eve Dallas Novel (In Death, Book 49)"
961,Greer Hendricks and Sarah Pekkanen ,Paperback,$13.44,9781250130945,$16.99,430.0,5.9 x 1.2 x 8.2 inches,10/30/18,Griffin; Reprint edition,Wife Between Us
962,Ernest Cline ,Paperback,$12.59,9780307887443,$16.00,400.0,5.2 x 0.9 x 7.9 inches,06/05/12,Broadway Books; 32089th edition,Ready Player One: A Novel
963,Cassandra Clare and Wesley Chu ,Hardcover,$16.50,9781481495080,$24.99,368.0,6 x 1.1 x 9 inches,04/09/19,Margaret K. McElderry Books,The Red Scrolls of Magic (The Eldest Curses)
964,Justin Cronin ,Paperback,$14.71,9780345542373,$18.00,608.0,5.5 x 1 x 8.2 inches,01/19/16,Ballantine Books; Reprint edition,The Twelve (Book Two of The Passage Trilogy): A Novel
965,Lisa Scottoline ,Hardcover,$17.70,9780525539643,$27.00,400.0,6.5 x 1.2 x 9.2 inches,04/09/19,G.P. Putnam's Sons,Someone Knows
966,Vince Flynn and Kyle Mills ,Hardcover,$18.89,9781501190629,$28.99,400.0,6.1 x 9.2 inches,09/24/19,Atria/Emily Bestler Books,Lethal Agent (A Mitch Rapp Novel)
967,Caroline Kepnes ,Paperback,$14.16,9781476785639,$18.00,448.0,5.3 x 1.1 x 8.2 inches,11/01/16,Atria/Emily Bestler Books; Reprint edition,Hidden Bodies: (A You Novel)
968,Justin Cronin ,Paperback,$15.30,9780425285527,$18.00,624.0,5.4 x 1.3 x 8.2 inches,05/16/17,Ballantine Books; Reprint edition,The City of Mirrors: A Novel (Passage Trilogy)
969,Iris Johansen ,Hardcover,$18.89,9781250075888,$28.99,384.0,6.3 x 1.3 x 9.5 inches,03/26/19,St. Martin's Press,Dark Tribute: An Eve Duncan Novel
970,Brad Thor ,Hardcover,$18.29,9781982104030,$27.99,320.0,6.1 x 9.2 inches,06/25/19,Atria/Emily Bestler Books,Backlash: A Thriller (The Scot Harvath Series)
971,Justin Cronin ,Paperback,$10.80,9780345504975,$18.00,785.0,5.5 x 1.3 x 8.2 inches,05/17/11,Ballantine Books; Reprint edition,The Passage: A Novel (Book One of The Passage Trilogy)
972,Lisa Gardner ,Hardcover,$16.20,9781524742089,$27.00,416.0,6.4 x 1.4 x 9.4 inches,02/19/19,Dutton,Never Tell: A Novel (A D.D. Warren and Flora Dane Novel)
973,Liv Constantine ,Paperback,$9.05,9780062667588,$16.99,400.0,5.3 x 0.9 x 8 inches,07/03/18,Harper Paperbacks; Reprint edition,The Last Mrs. Parrish: A Novel
974,David Baldacci ,Paperback,$10.73,9781538711804,$15.99,656.0,5.2 x 1.4 x 7.8 inches,01/29/19,Grand Central Publishing; Reissue edition,Total Control
975,Rhys Bowen ,Paperback,$10.37,9781542040112,$14.95,367.0,5.5 x 1 x 8.2 inches,02/12/19,Lake Union Publishing,The Victory Garden: A Novel
976,Don Winslow ,Paperback,$7.73,9780525436515,$9.99,768.0,4.2 x 1.2 x 7.5 inches,09/26/17,Vintage Crime/Black Lizard; First Edition edition,The Cartel (Power of the Dog Series)
977,Nora Roberts ,Hardcover,$13.04,9781250122995,$28.99,464.0,6.4 x 1.6 x 9.6 inches,12/04/18,St. Martin's Press; First Printing edition,"Of Blood and Bone: Chronicles of The One, Book 2"
978,J. D. Robb ,Hardcover,$19.24,9781250201577,$28.99,384.0,6.4 x 1.2 x 9.5 inches,02/05/19,St. Martin's Press,"Connections in Death: An Eve Dallas Novel (In Death, Book 48)"
979,Stephen King ,Hardcover,$11.27,9781982102319,$19.95,160.0,5 x 1 x 7 inches,10/30/18,Scribner; First Edition edition,Elevation
980,Deborah Harkness ,Paperback,$15.29,9780143123620,$18.00,592.0,5.5 x 1.2 x 8.4 inches,05/28/13,Penguin Books; Reprint edition,"Shadow of Night (All Souls Trilogy, Bk 2)"
981,Peter Swanson ,Hardcover,$16.40,9780062838155,$26.99,320.0,6 x 1 x 9 inches,03/05/19,William Morrow,Before She Knew Him: A Novel
982,Joanne Fluke ,Hardcover,$16.20,9781496718860,$27.00,304.0,5.8 x 1.1 x 8.5 inches,02/26/19,Kensington,Chocolate Cream Pie Murder (A Hannah Swensen Mystery)
983,Liane Moriarty ,Paperback,$6.77,9780425247440,$16.00,488.0,5.4 x 1 x 8.2 inches,04/24/12,Berkley Books; Reprint edition,What Alice Forgot
984,William P. Young ,Paperback,$8.81,9780964729230,$15.00,256.0,8 x 0.6 x 5.2 inches,07/01/07,Windblown Media; 1st edition,The Shack: Where Tragedy Confronts Eternity
985,Anne Hillerman ,Hardcover,$17.70,9780062391957,$26.99,320.0,6 x 1 x 9 inches,04/09/19,Harper,"The Tale Teller: A Leaphorn, Chee & Manuelito Novel"
986,Lauren Wilkinson ,Hardcover,$17.70,9780812998955,$27.00,304.0,6.4 x 1.1 x 9.5 inches,02/12/19,Random House,American Spy: A Novel
987,Deborah Harkness ,Paperback,$12.80,9780143119685,$18.00,579.0,5.5 x 1.2 x 8.4 inches,12/27/11,Penguin Books; 1st edition,A Discovery of Witches (All Souls Trilogy)
988,Alexander McCall Smith ,Hardcover,$23.36,9781524747824,$25.95,240.0,6.1 x 0.7 x 9.2 inches,10/22/19,Pantheon,To the Land of Long Lost Friends: No. 1 Ladies' Detective Agency (20) (No. 1 Ladies' Detective Agency Series)
989,K.L Randis ,Paperback,$17.99,,$19.99,,,01/01/1979,,Spilled Milk: Based on a true story
990,Linda Fairstein ,Hardcover,$18.30,9781524743109,$28.00,368.0,9 x 6 x 0.9 inches,03/26/19,Dutton,Blood Oath: A Novel (An Alexandra Cooper Novel)
991,Jane Harper ,Hardcover,$18.29,9781250105684,$27.99,352.0,6.4 x 1.2 x 9.4 inches,02/05/19,Flatiron Books,The Lost Man
992,Jonathan Kellerman ,Hardcover,$15.64,9780525618492,$28.99,384.0,6.4 x 1.2 x 9.5 inches,02/05/19,Ballantine Books; 1st Edition edition,The Wedding Guest: An Alex Delaware Novel
993,Stephen King ,Paperback,$14.99,9781501175466,$19.99,1184.0,5.5 x 2.4 x 8.4 inches,09/05/17,Scribner; Media Tie-In edition,It: A Novel
994,Agatha Christie ,Mass Market Paperback,$6.39,9780062073488,$7.99,,4.2 x 0.8 x 6.8 inches,03/29/11,William Morrow; Reissue edition,And Then There Were None
995,Caroline Kepnes ,Paperback,$9.68,9781501195433,$17.00,464.0,5.3 x 1.3 x 8.2 inches,08/28/18,Atria/Emily Bestler Books; Media Tie-In edition,You: A Novel
996,Christine Feehan ,Hardcover,$17.70,9781984803498,$27.00,416.0,6.2 x 1.4 x 9.3 inches,03/12/19,Berkley,Toxic Game (A GhostWalker Novel)
997,Craig Johnson ,Hardcover,$25.20,9780525522508,$28.00,336.0,6 x 0.8 x 9 inches,09/17/19,Viking,Land of Wolves (Walt Longmire)
998,Ann B. Ross ,Hardcover,$17.70,9780525560487,$27.00,320.0,5.8 x 1 x 8.5 inches,04/02/19,Viking,Miss Julia Takes the Wheel
999,Christopher Greyson ,Paperback,$14.30,9781683993032,$15.99,296.0,5 x 0.7 x 8 inches,11/04/17,Greyson Media Associates,The Girl Who Lived: A Thrilling Suspense Novel
1000,John le Carré ,Hardcover,$26.10,9781984878878,$29.00,272.0,6 x 0.7 x 9 inches,10/22/19,Viking,Agent Running in the Field: A Novel
1001,James Patterson and Bill Clinton ,Hardcover,$15.79,9780316412698,$30.00,528.0,2 x 10 x 8 inches,06/04/18,"Little, Brown and Company and Knopf; First Edition edition",The President Is Missing: A Novel
1002,Shari Lapena ,Paperback,$12.24,9780735221109,$16.00,336.0,5.2 x 0.6 x 8 inches,05/30/17,Penguin Books; Reprint edition,The Couple Next Door: A Novel
1003,Clive Cussler and Robin Burcell ,Hardcover,$18.90,9780525539612,$29.00,416.0,6 x 1.2 x 9 inches,06/11/19,G.P. Putnam's Sons,The Oracle (A Sam and Remi Fargo Adventure)
1004,Deborah Harkness ,Paperback,$13.60,9780143127529,$18.00,576.0,5.5 x 1.2 x 8.4 inches,05/26/15,Penguin Books; Reprint edition,The Book of Life: A Novel (All Souls Trilogy)
1005,Mark Greaney ,Hardcover,$16.20,9780451488947,$27.00,528.0,6.4 x 1.6 x 9.3 inches,02/19/19,Berkley,Mission Critical (Gray Man)
1006,William Kent Krueger ,Paperback,$10.87,9781451645859,$17.00,336.0,5.3 x 1.1 x 8.2 inches,03/04/14,Atria Books; Reprint edition,Ordinary Grace
1007,Celeste Ng ,Paperback,$12.13,9780143127550,$16.00,297.0,5.1 x 0.6 x 7.8 inches,05/12/15,Penguin Books; Reprint edition,Everything I Never Told You
1008,Niklas Natt och Dag ,Hardcover,$18.30,9781501196775,$28.00,384.0,6 x 1.1 x 9 inches,03/05/19,Atria Books,The Wolf and the Watchman: A Novel
1009,Andy Weir ,Paperback,$8.89,9780553418026,$16.00,387.0,5.2 x 0.8 x 8 inches,10/28/14,Broadway Books; Reprint edition,The Martian
1010,Gillian Flynn ,Paperback,$7.99,9780307341556,$14.00,254.0,5.2 x 0.6 x 8 inches,07/31/07,Broadway Books; Reprint edition,Sharp Objects
1011,Dean Koontz ,Hardcover,$18.30,9780525484707,$28.00,432.0,6.1 x 1.1 x 9.2 inches,05/14/19,Bantam,The Night Window: A Jane Hawk Novel
1012,Laila Lalami ,Hardcover,$14.99,9781524747145,$25.95,320.0,6.4 x 1.1 x 9.5 inches,03/26/19,Pantheon,The Other Americans: A Novel
1013,James Patterson and Candice Fox ,Hardcover,$11.85,9780316418249,$28.00,400.0,6.5 x 1.6 x 9.6 inches,01/14/19,"Little, Brown and Company; First Edition edition",Liar Liar (Harriet Blue)
1014,Ariel Lawhon ,Paperback,$11.77,9781101973318,$16.00,432.0,5.2 x 0.9 x 8 inches,02/05/19,Anchor; Reprint edition,I Was Anastasia
1015,Liane Moriarty ,Paperback,$9.64,9780425274866,$16.00,512.0,5.4 x 1.1 x 8.2 inches,08/11/15,Berkley; Reprint edition,Big Little Lies
1016,Michael Connelly ,Hardcover,$16.05,9780316484800,$29.00,448.0,6.4 x 1.5 x 9.6 inches,10/30/18,"Little, Brown and Company; 1 edition",Dark Sacred Night (A Ballard and Bosch Novel)
1017,Nora Roberts ,Hardcover,$18.89,9781250207098,$28.99,448.0,6.1 x 9.2 inches,07/09/19,St. Martin's Press,Under Currents
1018,Shirley Jackson and Laura Miller ,Paperback,$12.70,9780143039983,$16.00,208.0,5.1 x 0.6 x 7.8 inches,11/28/06,Penguin Classics; 1 edition,The Haunting of Hill House (Penguin Classics)
1019,Rhys Bowen ,Paperback,$7.99,9781503941359,$14.95,396.0,5.5 x 1 x 8.2 inches,03/01/17,Lake Union Publishing,In Farleigh Field: A Novel of World War II
1020,Louise Penny ,Hardcover,$14.49,9781250066206,$28.99,400.0,6.4 x 1.3 x 9.6 inches,11/27/18,Minotaur Books; First Edition edition,Kingdom of the Blind: A Chief Inspector Gamache Novel
1021,Philip Kerr ,Hardcover,$18.30,9780735218895,$28.00,384.0,6.3 x 1.2 x 9.3 inches,04/09/19,G.P. Putnam's Sons,Metropolis (A Bernie Gunther Novel)
1022,Alex Irvine ,Paperback,$7.48,9781984803177,$9.99,368.0,4.2 x 0.9 x 7.5 inches,03/26/19,Berkley,Tom Clancy's The Division: Broken Dawn
1023,B. A. Paris ,Paperback,$9.90,9781250132369,$16.99,352.0,5.6 x 1 x 8.3 inches,07/03/17,St. Martin's Griffin; Reprint edition,Behind Closed Doors: A Novel
1024,Stephen King ,Paperback,$15.79,9781451627299,$19.99,880.0,6 x 2.1 x 9 inches,07/24/12,Gallery Books; PAPERBACK edition,11/22/63: A Novel
1025,Leigh Bardugo ,Hardcover,$22.04,9781250313072,$27.99,448.0,6.1 x 9.2 inches,10/01/19,Flatiron Books,Ninth House
1026,Elly Griffiths ,Hardcover,$16.22,9781328577856,$25.00,352.0,6 x 1.2 x 9 inches,03/05/19,Houghton Mifflin Harcourt,The Stranger Diaries
1027,Dan Brown ,Paperback,$5.75,9780525563709,$9.99,656.0,4.2 x 1.3 x 7.5 inches,07/17/18,Anchor; Reprint edition,Origin: A Novel (Robert Langdon)
1028,Ruth Ware ,Paperback,$10.68,9781501132957,$16.00,384.0,5.3 x 1.1 x 8.2 inches,04/11/17,Gallery/Scout Press; Reprint edition,The Woman in Cabin 10
1029,Stephen King ,Mass Market Paperback,$7.75,9780307743657,$8.99,,4.2 x 1.1 x 6.8 inches,06/26/12,Anchor; Reissue edition,The Shining
1030,Neal Stephenson ,Hardcover,$22.48,9780062458711,$35.00,880.0,6 x 2 x 9 inches,06/04/19,William Morrow,"Fall; or, Dodge in Hell: A Novel"
1031,Louise Penny ,Paperback,$12.78,9780312541538,$17.99,312.0,5.5 x 0.8 x 8.2 inches,09/30/08,St. Martin's Minotaur; 1st edition,Still Life
1032,J.A. Jance ,Hardcover,$18.29,9781501151019,$27.99,352.0,9 x 6 x 9 inches,04/02/19,Gallery Books,The A List (Ali Reynolds Series)
1033,L.T. Ryan ,Paperback,$11.69,9781484009291,$12.99,278.0,6 x 0.7 x 9 inches,04/03/13,CreateSpace Independent Publishing Platform; First Edition edition,Noble Beginnings: A Jack Noble Novel
1034,C.J. Box ,Hardcover,$18.29,9781250051059,$27.99,320.0,6.1 x 9.2 inches,08/13/19,Minotaur Books,The Bitterroots: A Novel
1035,Catherine Steadman ,Hardcover,$15.29,9781524797188,$27.00,352.0,6.4 x 1.2 x 9.5 inches,06/05/18,Ballantine Books; 1st Edition edition,Something in the Water: A Novel
1036,Stuart Turton ,Hardcover,$12.99,9781492657965,$25.99,448.0,6.4 x 1.5 x 9.1 inches,09/18/18,Sourcebooks Landmark,The 7 ½ Deaths of Evelyn Hardcastle
1037,Dave Eggers ,Hardcover,$17.07,9780525655305,$25.95,192.0,5.3 x 0.8 x 7.8 inches,03/19/19,Knopf,The Parade: A novel
1038,Sue Monk Kidd ,Paperback,$11.63,9780142001745,$16.00,336.0,5.1 x 0.6 x 7.7 inches,01/28/03,Penguin Books; 1st edition,The Secret Life of Bees
1039,James Patterson and Candice Fox ,Hardcover,$18.30,9780316527583,$28.00,384.0,,08/05/19,"Little, Brown and Company",The Inn
1040,Lee Child ,Hardcover,$16.24,9780399593512,$28.99,400.0,6.2 x 1.2 x 9.3 inches,11/05/18,Delacorte Press; 1st Edition edition,Past Tense: A Jack Reacher Novel
1041,Janet Evanovich ,Hardcover,$16.28,9780399179228,$28.00,320.0,6.3 x 1 x 9.5 inches,11/13/18,G.P. Putnam's Sons; First Edition edition,Look Alive Twenty-Five: A Stephanie Plum Novel
1042,Stephen King ,Paperback,$11.55,9780307947307,$17.00,1200.0,5.2 x 1.9 x 7.9 inches,08/07/12,Anchor; Reprint edition,The Stand
1043,John Grisham ,Hardcover,$12.59,9780525556268,$17.99,240.0,5.5 x 0.7 x 8.2 inches,05/14/19,Dutton Books for Young Readers,Theodore Boone: The Accomplice
1044,Shalini Boland ,Paperback,$9.89,,$10.99,,,01/01/1979,,The Best Friend: An utterly gripping psychological thriller with a breathtaking twist
1045,Glendy Vanderah ,Paperback,$10.37,9781503904910,$14.95,331.0,5.5 x 1 x 8.2 inches,03/01/19,Lake Union Publishing,Where the Forest Meets the Stars
1046,Ken Kesey,Mass Market Paperback,$8.99,9780451163967,$9.99,,4.2 x 0.9 x 7.5 inches,02/01/63,Berkley,One Flew Over the Cuckoo's Nest
1047,James Patterson ,Hardcover,$17.33,9781538733042,$28.00,464.0,6 x 1.6 x 8.6 inches,04/16/19,Grand Central Publishing,The 13-Minute Murder (Hardcover Library Edition)
1048,Allen Eskens ,Paperback,$11.96,9781616149987,$15.95,303.0,5.5 x 1 x 8.2 inches,10/14/14,Seventh Street Books; First Paperback Edition edition,The Life We Bury
1049,Tana French ,Hardcover,$18.30,9780735224629,$28.00,528.0,6.3 x 1.6 x 9.3 inches,10/09/18,Viking; First Edition edition,The Witch Elm: A Novel
1050,"William R. Forstchen , William D. Sanders, et al. ",Mass Market Paperback,$7.98,9780765356864,$9.99,,4.2 x 1.1 x 7.5 inches,04/26/11,Forge Books; First edition,One Second After (A John Matherson Novel)
1051,Gwenda Bond ,Hardcover,$18.30,9781984800886,$28.00,320.0,6.3 x 1 x 9.3 inches,02/05/19,Del Rey,Stranger Things: Suspicious Minds: The first official Stranger Things novel
1052,Robert Galbraith ,Hardcover,$19.72,9780316422734,$29.00,656.0,10 x 6 x 2.5 inches,09/18/18,Mulholland Books; First Edition edition,Lethal White (A Cormoran Strike Novel)
1053,Ace Atkins ,Hardcover,$21.18,9780525536826,$27.00,320.0,6 x 1 x 9 inches,11/19/19,G.P. Putnam's Sons,Robert B. Parker's Angel Eyes (Spenser)
1054,James Lee Burke ,Hardcover,$15.97,9781501176876,$27.99,464.0,6.1 x 1.3 x 9.2 inches,01/08/19,Simon & Schuster; 1st Edition edition,The New Iberia Blues: A Dave Robicheaux Novel
1055,Nina Laurin ,Paperback,$8.98,9781455569021,$14.99,352.0,5.2 x 1 x 8.1 inches,06/20/17,Grand Central Publishing,Girl Last Seen: A gripping psychological thriller with a shocking twist
1056,Jeffrey Archer ,Hardcover,$26.09,9781250200761,$28.99,416.0,6.1 x 9.2 inches,09/10/19,St. Martin's Press,Nothing Ventured (William Warwick Novels)
1057,Teresa Driscoll ,Paperback,$10.97,9781542046596,$15.95,299.0,5.5 x 1 x 8.2 inches,10/01/17,Thomas & Mercer,I Am Watching You
1058,Deborah Harkness ,Hardcover,$20.30,9780399564512,$29.00,448.0,6.4 x 1.4 x 9.3 inches,09/18/18,Viking; First Edition edition,Time's Convert: A Novel
1059,Shalini Boland ,Paperback,$9.89,9781786815255,$10.99,282.0,5.1 x 0.7 x 7.8 inches,11/06/18,Bookouture,The Perfect Family: An unputdownable psychological thriller with a heartstopping twist
